Company,Revenues,Profits,Employees,Sector,Industry
American Express,35583,2736,55000,Financials,Diversified Financials
Coca-Cola,35410,1248,61800,"Food, Beverages & Tobacco",Beverages
Publix Super Markets,34837,2291.9,193000,Food &  Drug Stores,Food and Drug Stores
Nike,34350,4240,74400,Apparel,Apparel
Andeavor,34204,1528,14300,Energy,Petroleum Refining
World Fuel Services,33696,-170.2,5000,Energy,Energy
Exelon,33531,3770,34621,Energy,Utilities: Gas and Electric
Massachusetts Mutual Life Insurance,33495,513,11811,Financials,"Insurance: Life, Health (Mutual)"
Rite Aid,32845,4.1,70430,Food &  Drug Stores,Food and Drug Stores
ConocoPhillips,32584,-855,11400,Energy,"Mining, Crude-Oil Production"
CHS,31935,127.9,11626,"Food, Beverages & Tobacco",Food Production
3M,31657,4858,91536,Industrials,Miscellaneous
Time Warner,31271,5247,26000,Media,Entertainment
General Dynamics,30973,2912,98600,Aerospace & Defense,Aerospace and Defense
USAA,30016,2421.9,32705,Financials,Insurance: Property and Casualty (Stock)
Capital One Financial,29999,1982,49300,Financials,Commercial Banks
Deere,29738,2159.1,60476,Industrials,Construction and Farm Machinery
INTL FCStone,29424,6.4,1607,Financials,Diversified Financials
Northwestern Mutual,29331,1017,5437,Financials,"Insurance: Life, Health (Mutual)"
Enterprise Products Partners,29242,2799.3,7000,Energy,Pipelines
Travelers Cos.,28902,2056,30800,Financials,Insurance: Property and Casualty (Stock)
Hewlett Packard Enterprise,28871,344,66000,Technology,"Computers, Office Equipment"
Philip Morris International,28748,6035,80600,"Food, Beverages & Tobacco",Tobacco
Twenty-First Century Fox,28500,2952,21700,Media,Entertainment
AbbVie,28216,5309,29000,Health Care,Pharmaceuticals
Abbott Laboratories,27390,477,99000,Health Care,Medical Products and Equipment
Progressive,26839,1592.2,33656,Financials,Insurance: Property and Casualty (Stock)
Arrow Electronics,26813,402,18800,Wholesalers,Wholesalers: Electronics and Office Equipment
Kraft Heinz,26232,10999,39000,"Food, Beverages & Tobacco",Food Consumer Products
Plains GP Holdings,26223,-731,4850,Energy,Pipelines
Gilead Sciences,26107,4628,10000,Health Care,Pharmaceuticals
Mondelez International,25896,2922,83000,"Food, Beverages & Tobacco",Food Consumer Products
Northrop Grumman,25803,2015,70000,Aerospace & Defense,Aerospace and Defense
Raytheon,25348,2024,64000,Aerospace & Defense,Aerospace and Defense
Macys,24837,1547,130000,Retailing,General Merchandisers
US Foods Holding,24147,444.3,25204,Wholesalers,Wholesalers: Food and Grocery
U.S. Bancorp,23996,6218,72402,Financials,Commercial Banks
Dollar General,23471,1539,129000,Retailing,Specialty Retailers: Other
International Paper,23302,2144,56000,Materials,"Packaging, Containers"
Duke Energy,23189,3059,29060,Energy,Utilities: Gas and Electric
Southern,23031,842,31344,Energy,Utilities: Gas and Electric
Marriott International,22894,1372,177000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts"
Avnet,22872,525.3,15700,Wholesalers,Wholesalers: Electronics and Office Equipment
Eli Lilly,22871,-204.1,40655,Health Care,Pharmaceuticals
Amgen,22849,1979,20800,Health Care,Pharmaceuticals
McDonalds,22820,5192.3,235000,"Hotels, Restaurants & Leisure",Food Services
Starbucks,22387,2884.7,277000,"Hotels, Restaurants & Leisure",Food Services
Qualcomm,22291,2466,33800,Technology,Semiconductors and Other Electronic Components
Dollar Tree,22246,1714.3,116200,Retailing,Specialty Retailers: Other
PBF Energy,21787,415.5,3165,Energy,Petroleum Refining
Icahn Enterprises,21744,2430,89034,Financials,Diversified Financials
Aflac,21667,4604,11318,Financials,"Insurance: Life, Health (stock)"
AutoNation,21535,434.6,26000,Retailing,"Automotive Retailing, Services"
Penske Automotive Group,21389,613.3,26000,Retailing,"Automotive Retailing, Services"
Whirlpool,21253,350,92000,Industrials,"Electronics, Electrical Equip."
Union Pacific,21240,10712,41992,Transportation,Railroads
Southwest Airlines,21171,3488,56110,Transportation,Airlines
ManpowerGroup,21034,545.4,29000,Business Services,Temporary Help
Thermo Fisher Scientific,20918,2225,66100,Technology,"Scientific,Photographic and  Control Equipment"
Bristol-Myers Squibb,20776,1007,23700,Health Care,Pharmaceuticals
Halliburton,20620,-463,55000,Energy,"Oil and Gas Equipment, Services"
Tenet Healthcare,20613,-704,111980,Health Care,Health Care: Medical Facilities
Lear,20467,1313.4,165000,Motor Vehicles & Parts,Motor Vehicles and Parts
Cummins,20428,999,58600,Industrials,Industrial Machinery
Micron Technology,20322,5089,34100,Technology,Semiconductors and Other Electronic Components
Nucor,20252,1318.7,25100,Materials,Metals
Molina Healthcare,19883,-512,20000,Health Care,Health Care: Insurance and Managed Care
Fluor,19521,191.4,56706,Engineering & Construction,"Engineering, Construction"
Altria Group,19494,10222,8300,"Food, Beverages & Tobacco",Tobacco
Paccar,19456,1675.2,25000,Industrials,Construction and Farm Machinery
Hartford Financial Services,19228,-3131,16400,Financials,Insurance: Property and Casualty (Stock)
Kohls,19095,859,85000,Retailing,General Merchandisers
Western Digital,19093,397,67629,Technology,"Computers, Office Equipment"
Jabil,19063.1,129.1,170000,Technology,Semiconductors and Other Electronic Components
Community Health Systems,18477,-2459,86000,Health Care,Health Care: Medical Facilities
Visa,18358,6699,15000,Business Services,Financial Data Services
Danaher,18330,2492.1,67000,Health Care,Medical Products and Equipment
Kimberly-Clark,18259,2278,42000,Household Products,Household and Personal Products
AECOM,18203,339.4,87000,Engineering & Construction,"Engineering, Construction"
PNC Financial Services,18035,5338,51632,Financials,Commercial Banks
CenturyLink,17656,1389,51000,Telecommunications,Telecommunications
NextEra Energy,17195,5378,14000,Energy,Utilities: Gas and Electric
PG& E Corp.,17135,1646,23000,Energy,Utilities: Gas and Electric
Synnex,17046,301.2,113600,Wholesalers,Wholesalers: Electronics and Office Equipment
WellCare Health Plans,17007,373.7,8900,Health Care,Health Care: Insurance and Managed Care
Performance Food Group,16762,96.3,14000,Wholesalers,Wholesalers: Food and Grocery
Sears Holdings,16702,-383,89000,Retailing,General Merchandisers
Synchrony Financial,16695,1935,16000,Financials,Diversified Financials
CarMax,16637,627,24344,Retailing,"Automotive Retailing, Services"
Bank of New York Mellon,16621,4090,52500,Financials,Commercial Banks
Freeport-McMoRan,16416,1817,25200,Energy,"Mining, Crude-Oil Production"
Genuine Parts,16309,616.8,48000,Wholesalers,Wholesalers: Diversified
Emerson Electric,16301,1518,76500,Industrials,Industrial Machinery
DaVita,16038,663.6,74500,Health Care,Health Care: Medical Facilities
Supervalu,16009,650,29000,Food &  Drug Stores,Food and Drug Stores
Gap,15855,848,135000,Retailing,Specialty Retailers: Apparel
General Mills,15620,1657.5,38000,"Food, Beverages & Tobacco",Food Consumer Products
Nordstrom,15478,437,76000,Retailing,General Merchandisers
Colgate-Palmolive,15454,2024,35900,Household Products,Household and Personal Products
American Electric Power,15425,1912.6,17666,Energy,Utilities: Gas and Electric
XPO Logistics,15381,340.2,95000,Transportation,Transportation and Logistics
Goodyear Tire & Rubber,15377,346,64000,Motor Vehicles & Parts,Motor Vehicles and Parts
Omnicom Group,15274,1088.4,77300,Business Services,"Advertising, marketing"
CDW,15192,523,8726,Technology,Information Technology Services
Sherwin-Williams,14984,1772.3,52695,Chemicals,Chemicals
PPG Industries,14967,1591,47200,Chemicals,Chemicals
Texas Instruments,14961,3682,29714,Technology,Semiconductors and Other Electronic Components
C.H. Robinson Worldwide,14869,504.9,15074,Transportation,Transportation and Logistics
WestRock,14860,708.2,44800,Materials,"Packaging, Containers"
Cognizant Technology Solutions,14810,1504,260000,Technology,Information Technology Services
Newell Brands,14742,2748.8,49000,Household Products,"Home Equipment, Furnishings"
CBS,14710,357,14715,Media,Entertainment
