Company,Revenues,Profits,Employees,Sector,Industry
Corning,10116,-497,46200,Industrials,"Electronics, Electrical Equip."
Lithia Motors,10087,245.2,12899,Retailing,"Automotive Retailing, Services"
Expedia Group,10060,378,22615,Retailing,Internet Services and Retailing
Republic Services,10042,1278.4,35000,Business Services,Waste Management
Jacobs Engineering Group,10023,293.7,49750,Engineering & Construction,"Engineering, Construction"
Sonic Automotive,9867,93,9750,Retailing,"Automotive Retailing, Services"
Ally Financial,9866,929,7900,Financials,Diversified Financials
LKQ,9848,533.7,43000,Wholesalers,Wholesalers: Diversified
BorgWarner,9799,439.9,29000,Motor Vehicles & Parts,Motor Vehicles and Parts
Fidelity National Financial,9769,771,24525,Financials,Insurance: Property and Casualty (Stock)
SunTrust Banks,9741,2273,23785,Financials,Commercial Banks
IQVIA Holdings,9739,1309,55000,Health Care,Health Care: Pharmacy and Other Services
Reliance Steel & Aluminum,9721,613.4,14900,Materials,Metals
Nvidia,9714,3047,11528,Technology,Semiconductors and Other Electronic Components
Voya Financial,9660,-2992,6300,Financials,Diversified Financials
CenterPoint Energy,9614,1792,7977,Energy,Utilities: Gas and Electric
eBay,9567,-1016,14100,Technology,Internet Services and Retailing
Eastman Chemical,9549,1384,14000,Chemicals,Chemicals
American Family Insurance Group,9545,155.6,11307,Financials,Insurance: Property and Casualty (Stock)
Steel Dynamics,9539,812.7,7635,Materials,Metals
Pacific Life,9510,1365,3578,Financials,"Insurance: Life, Health (stock)"
Chesapeake Energy,9496,949,3200,Energy,"Mining, Crude-Oil Production"
Mohawk Industries,9491,971.6,38800,Household Products,"Home Equipment, Furnishings"
Quanta Services,9467,315,32800,Engineering & Construction,"Engineering, Construction"
Advance Auto Parts,9374,475.5,55500,Retailing,Specialty Retailers: Other
Owens & Minor,9318,72.8,8600,Wholesalers,Wholesalers: Health Care
United Natural Foods,9275,130.2,9700,Wholesalers,Wholesalers: Food and Grocery
Tenneco,9274,207,32000,Motor Vehicles & Parts,Motor Vehicles and Parts
Conagra Brands,9235,639.3,12600,"Food, Beverages & Tobacco",Food Consumer Products
GameStop,9225,34.7,39500,Retailing,Specialty Retailers: Other
Hormel Foods,9168,846.7,20200,"Food, Beverages & Tobacco",Food Consumer Products
Hilton Worldwide Holdings,9140,1259,163000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts"
Frontier Communications,9128,-1804,22736,Telecommunications,Telecommunications
Fidelity National Information Services,9123,1319,53000,Business Services,Financial Data Services
Public Service Enterprise Group,9084,1574,12945,Energy,Utilities: Gas and Electric
Boston Scientific,9048,104,29000,Health Care,Medical Products and Equipment
OReilly Automotive,8978,1133.8,60365,Retailing,Specialty Retailers: Other
Charles Schwab,8960,2354,17600,Financials,Securities
Global Partners,8921,58.8,2000,Wholesalers,Wholesalers: Diversified
PVH,8915,537.8,28050,Apparel,Apparel
Avis Budget Group,8848,361,26300,Retailing,"Automotive Retailing, Services"
Targa Resources,8815,54,2130,Energy,Pipelines
Hertz Global Holdings,8803,327,37000,Retailing,"Automotive Retailing, Services"
Calpine,8752,-339,2290,Energy,Energy
Mutual of Omaha Insurance,8732,862.6,5896,Financials,"Insurance: Life, Health (stock)"
Crown Holdings,8698,323,24342,Materials,"Packaging, Containers"
Peter Kiewit Sons,8678,371,22000,Engineering & Construction,"Engineering, Construction"
Dicks Sporting Goods,8591,323.4,30300,Retailing,Specialty Retailers: Other
