Business_Name,Business_location,IS_SOCIAL_EQUITY_BUSINESS,Latitude,Longitude
Old G Kush,"3707 W 3RD ST, LOS ANGELES, CA 90020",Yes,34.06911376,-118.2968637
Originals,"6500 S STANFORD AVE, LOS ANGELES, CA 90001",No,33.898857,-118.2612383
Puff Los Angeles,"1912 E CESAR E CHAVEZ AVE, LOS ANGELES, CA 90033",Yes,34.049931,-118.2149832
Rebud,"7117 LAUREL CANYON, LOS ANGELES, CA 91605",No,34.2008183,-118.3966408
"Revo's Finest, LLC","19234 W VANOWEN ST, LOS ANGELES, CA 91335",Yes,34.1940262,-118.5490212
Rose Collective,"411 E ROSE AVE, VENICE, CA 90291",No,34.0010272,-118.4685633
Royal Greens,"5067 W WASHINGTON BLVD, LOS ANGELES, CA 90016",No,34.04095752,-118.3501815
SC Gardens,"10800 S BROADWAY, LOS ANGELES, CA 90061",Yes,33.938154,-118.278042
SDF11 LLC,"6211 W FRANKLIN AVE, LOS ANGELES, CA 90028",Yes,34.1051164,-118.3374807
Sixty Four & Hope,"2000 S LA CIENEGA BLVD, LOS ANGELES, CA 90034",Yes,34.040198,-118.376907
Smartweed,"1038 -1040 N WESTERN AVE, LOS ANGELES, CA 90029",No,34.0839125,-118.3091506
Stiiizy,"718 E COMMERCIAL ST, LOS ANGELES, CA 90012",No,34.0535842,-118.2376153
Stiiizy Wilmington,"1026 W PACIFIC COAST HWY, LOS ANGELES, CA 90744",Yes,34.0171054,-118.8163512
Sweet Flower,"614 S MATEO ST, LOS ANGELES, CA 90021",No,34.0279608,-118.2322135
The Artist Tree,"520 S WESTERN AVE, LOS ANGELES, CA 90020",Yes,34.0648872,-118.3089988
The Artist Tree,"8311 W BEVERLY BLVD, LOS ANGELES, CA 90048",No,34.0246645,-118.1408728
The Cure Company,"7872 S CRENSHAW BLVD, LOS ANGELES, CA 90043",Yes,33.9908636,-118.3309558
The Farmacy Westwood,"1035 S GAYLEY AVE, LOS ANGELES, CA 90024",No,34.0589024,-118.4455572
The Green Paradise,"1119 S LA BREA AVE, LOS ANGELES, CA 90019",Yes,34.05481125,-118.3439769
The Growcery,"5816 W PICO BLVD, LOS ANGELES, CA 90019",No,34.05110713,-118.3650385
The Pottery,"5042 W VENICE BLVD, LOS ANGELES, CA 90019",No,34.0128898,-118.417372
The Set,"8503 RESEDA BLVD, NORTHRIDGE, CA 91324",Yes,34.22478177,-118.536179
Traditional,"4665 W PICO BLVD, LOS ANGELES, CA 90019",Yes,34.04876777,-118.3374978
TREEHOUSE,"11614 W VENICE BLVD, LOS ANGELES, CA 90066",Yes,34.0128898,-118.417372
We Roll Up,"1705 S GAFFEY ST, SAN PEDRO, CA 90731",Yes,33.728531,-118.2926151
Wheelhouse Venice Dispensary,"712 S LINCOLN BLVD, VENICE, CA 90291",No,33.9985338,-118.4620382
Wonderbrett Store,"314 N LA BREA AVE, LOS ANGELES, CA 90036",Yes,34.07655286,-118.3439366
