Rank,Name,Number Of Employees,Change In Rank,Industry,Company Description,Revenues_millions,Revenue_Change,Profits_millions,Profit_Change,"Assets
($millions)","Market Value
As of 3/31/20 ($m)"
1,Walmart,2200000,-,Retail Company,"Walmart Inc. Is An American Multinational Retail Corporation That Operates A Chain Of Hypermarkets, Discount Department Stores, And Grocery Stores, Headquartered In Bentonville, Arkansas.","$523,964",1.90%,"$14,881.00",123.10%,"$236,495","$321,803"
2,Amazon.com,798000,3,E-commerce Company,"Amazon.com, Inc. Is An American Multinational Technology Company Based In Seattle, Washington, Which Focuses On E-commerce, Cloud Computing, Digital Streaming, And Artificial Intelligence.","$280,522",20.50%,"$11,588.00",15.00%,"$225,248","$970,680"
3,Exxon Mobil,74900,-1,Corporation,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products.","$264,938",-8.70%,"$14,340.00",-31.20%,"$362,597","$160,696"
4,Apple,137000,-1,Technology Company,"Apple Inc. Is An American Multinational Technology Company Headquartered In Cupertino, California, That Designs, Develops And Sells Consumer Electronics, Computer Software, And Online Services.","$260,174",-2.00%,"$55,256.00",-7.20%,"$338,516","$1,112,641"
5,Cvs Health,290000,3,Healthcare Company,"Cvs Health Is An American Healthcare Company That Owns Cvs Pharmacy, A Retail Pharmacy Chain; Cvs Caremark, A Pharmacy Benefits Manager; Aetna, A Health Insurance Provider, Among Many Other Brands. The Company's Headquarter Is In Woonsocket, Rhode Island.","$256,776",32.00%,"$6,634.00",-,"$222,449","$77,376"
6,Berkshire Hathaway,391500,-2,Multinational Conglomerate Company,"Berkshire Hathaway Is An American Multinational Conglomerate Holding Company Headquartered In Omaha, Nebraska, United States.","$254,616",2.70%,"$81,417.00",1924.80%,"$817,729","$442,897"
7,Unitedhealth Group,325000,-1,Managed Care Company,"Unitedhealth Group Incorporated Is An American For-profit Managed Health Care Company Based In Minnetonka, Minnesota. It Offers Health Care Products And Insurance Services. In 2019, It Was The Second-largest Healthcare Company By Revenue With $242.2 Billion, And The Largest Insurance Company By Net Premiums.","$242,155",7.00%,"$13,839.00",15.50%,"$173,889","$236,555"
8,Mckesson,70000,-1,Health Care Company,"Mckesson Corporation Is An American Company Distributing Pharmaceuticals And Providing Health Information Technology, Medical Supplies, And Care Management Tools. The Company Had Revenues Of $231.1 Billion In 2020.","$214,319",2.90%,$34.00,-49.30%,"$59,672","$21,845"
9,At&t,247800,-,Telecommunications Company,"At&t Inc. Is An American Multinational Conglomerate Holding Company, Delaware-registered But Headquartered At Whitacre Tower In Downtown Dallas, Texas.","$181,193",6.10%,"$13,903.00",-28.20%,"$551,669","$209,388"
10,Amerisourcebergen,21500,-,Wholesale Company,Amerisourcebergen Corporation Is An American Drug Wholesale Company That Was Formed By The Merger Of Bergen Brunswig And Amerisource In 2001. They Provide Drug Distribution And Related Services Designed To Reduce Costs And Improve Patient Outcomes.,"$179,589",6.90%,$855.40,-48.40%,"$39,172","$18,221"
11,Alphabet,118899,4,Information Technology And Services,"Alphabet Inc. Is An American Multinational Conglomerate Headquartered In Mountain View, California. It Was Created Through A Restructuring Of Google On October 2, 2015,[2] And Became The Parent Company Of Google And Several Former Google Subsidiaries.the Two Co-founders Of Google Remained As Controlling Shareholders, Board Members, And Employees At Alphabet. Alphabet Is The World's Fourth-largest Technology Company By Revenue And One Of The World's Most Valuable Companies.","$161,857",18.30%,"$34,343.00",11.70%,"$275,909","$798,905"
12,Ford Motor,190000,-,Automaker Company,"Ford Motor Company, Commonly Known As Ford, Is An American Multinational Automaker That Has Its Main Headquarters In Dearborn, Michigan, A Suburb Of Detroit. It Was Founded By Henry Ford And Incorporated On June 16, 1903.","$155,900",-2.80%,$47.00,-98.70%,"$258,537","$19,151"
13,Cigna,73700,52,Insurance Company,"Cigna Is An American Worldwide Health Services Organization Based In Bloomfield, Connecticut. Its Insurance Subsidiaries Are Major Providers Of Medical, Dental, Disability, Life And Accident Insurance And Related Products And Services, The Majority Of Which Are Offered Through Employers And Other Groups.","$153,566",215.70%,"$5,104.00",93.60%,"$155,774","$65,897"
14,Costco Wholesale,201500,-,Retail Company,Costco Wholesale Corporation Is An American Multinational Corporation Which Operates A Chain Of Membership-only Warehouse Clubs.,"$152,703",7.90%,"$3,659.00",16.80%,"$45,400","$125,908"
15,Chevron,48200,-4,Oil Industry Company,"Chevron Corporation Is An American Multinational Energy Corporation. One Of The Successor Companies Of Standard Oil, It Is Headquartered In San Ramon, California, And Active In More Than 180 Countries.","$146,516",-11.90%,"$2,924.00",-80.30%,"$237,428","$136,176"
16,Cardinal Health,49500,-,Health Care Company,"Cardinal Health, Inc. Is An American Multinational Health Care Services Company, And The 14th Highest Revenue Generating Company In The United States. Its Headquarters Are Based In Dublin, Ohio And Dublin, Ireland.","$145,534",6.40%,"$1,363.00",432.40%,"$40,963","$13,988"
17,Jpmorgan Chase,256981,1,Investment Banking Company,"Jpmorgan Chase & Co. Is An American Multinational Investment Bank And Financial Services Holding Company Headquartered In New York City. Jpmorgan Chase Is Ranked By S&p Global As The Largest Bank In The United States And The Seventh Largest Bank In The World By Total Assets, With Total Assets Of Us$3.213 Trillion.","$142,422",8.40%,"$36,431.00",12.20%,"$2,687,379","$276,750"
18,General Motors,164000,-5,Vehicle Manufacturer,"General Motors Company Is An American Multinational Corporation Headquartered In Detroit That Designs, Manufactures, Markets, And Distributes Vehicles And Vehicle Parts, And Sells Financial Services, With Global Headquarters In Detroit's Renaissance Center.","$137,237",-6.70%,"$6,732.00",-16.00%,"$228,037","$29,695"
19,Walgreens Boots Alliance,287000,-2,Retail Company,"Walgreens Boots Alliance, Inc. Is An American Holding Company Headquartered In Deerfield, Illinois, That Owns Walgreens, Boots, And A Number Of Pharmaceutical Manufacturing, Wholesale, And Distribution Companies.","$136,866",4.10%,"$3,982.00",-20.70%,"$67,598","$40,528"
20,Verizon Communications,135000,-1,Telecommunications Company,"Verizon Communications Inc. Is An American Multinational Telecommunications Conglomerate And A Corporate Component Of The Dow Jones Industrial Average. The Company Is Based At 1095 Avenue Of The Americas In Midtown Manhattan, New York City, But Is Incorporated In Delaware.","$131,868",0.80%,"$19,265.00",24.10%,"$291,727","$222,220"
21,Microsoft,144000,5,Technology Company,"Microsoft Corporation Is An American Multinational Technology Company With Headquarters In Redmond, Washington. It Develops, Manufactures, Licenses, Supports, And Sells Computer Software, Consumer Electronics, Personal Computers, And Related Services.","$125,843",14.00%,"$39,240.00",136.80%,"$286,556","$1,199,550"
22,Marathon Petroleum,60910,9,Petroleum Refining Company,"Marathon Petroleum Corporation Is An American Petroleum Refining, Marketing, And Transportation Company Headquartered In Findlay, Ohio. The Company Was A Wholly Owned Subsidiary Of Marathon Oil Until A Corporate Spin-off In 2011.","$124,813",28.50%,"$2,637.00",-5.10%,"$98,556","$15,353"
23,Kroger,435000,-3,Retail Company,"The Kroger Company, Or Simply Kroger, Is An American Retail Company Founded By Bernard Kroger In 1883 In Cincinnati, Ohio. It Is The United States' Largest Supermarket By Revenue, And The Second-largest General Retailer.","$122,286",0.90%,"$1,659.00",-46.70%,"$45,256","$24,114"
24,Fannie Mae,7500,-2,Mortgage Loan Company,"The Federal National Mortgage Association, Commonly Known As Fannie Mae, Is A United States Government-sponsored Enterprise And, Since 1968, A Publicly Traded Company.","$120,304",0.20%,"$14,160.00",-11.30%,"$3,503,319","$1,841"
25,Bank Of America,208131,-,Financial Services Company,"The Bank Of America Corporation Is An American Multinational Investment Bank And Financial Services Holding Company Headquartered In Charlotte, North Carolina, With Central Hubs In New York City, Dallas, Toronto, London And Hong Kong.","$113,589",2.70%,"$27,430.00",-2.50%,"$2,434,079","$185,227"
26,Home Depot,415700,1,Home Improvement Company,"The Home Depot, Inc., Commonly Known As Home Depot, Is The Largest Home Improvement Retailer In The United States, Supplying Tools, Construction Products, And Services. The Company Is Headquartered In Incorporated Cobb County, Georgia, With An Atlanta Mailing Address.","$110,225",1.90%,"$11,242.00",1.10%,"$51,236","$200,665"
27,Phillips 66,14500,-4,Energy Company,"The Phillips 66 Company Is An American Multinational Energy Company Headquartered In Westchase, Houston, Texas. It Debuted As An Independent Energy Company When Conocophillips Executed A Spin-off Of Its Downstream And Midstream Assets.","$109,559",-4.10%,"$3,076.00",-45.00%,"$58,720","$23,490"
28,Comcast,190000,4,Telecommunications Company,"Comcast Corporation Is An American Telecommunications Conglomerate Headquartered In Philadelphia, Pennsylvania.","$108,942",15.30%,"$13,057.00",11.30%,"$263,414","$156,533"
29,Anthem,70600,4,Insurance Company,"Anthem, Inc., Is A Provider Of Health Insurance In The United States. It Is The Largest For-profit Managed Health Care Company In The Blue Cross Blue Shield Association. As Of 2018, The Company Had Approximately 40 Million Members. Anthem Is Ranked 29th On The Fortune 500. Prior To 2014, It Was Named Wellpoint, Inc.","$104,213",13.10%,"$4,807.00",28.20%,"$77,453","$57,245"
30,Wells Fargo,259800,-1,Financial Services Company,"Wells Fargo & Company Is An American Multinational Financial Services Company With Corporate Headquarters In San Francisco, California, Operational Headquarters In Manhattan, And Managerial Offices Throughout The United States And Overseas.","$103,915",2.80%,"$19,549.00",-12.70%,"$1,927,555","$117,366"
31,Citigroup,200000,-1,Investment Banking Company,Citigroup Inc. Or Citi Is An American Multinational Investment Bank And Financial Services Corporation Headquartered In New York City. The Company Was Formed By The Merger Of Banking Giant Citicorp And Financial Conglomerate Travelers Group In 1998; Travelers Was Subsequently Spun Off From The Company In 2002.,"$103,449",6.50%,"$19,401.00",7.50%,"$1,951,158","$88,377"
32,Valero Energy,10222,-8,Oil And Gas,"Valero Energy Corporation Is A Fortune 500 International Manufacturer And Marketer Of Transportation Fuels, Other Petrochemical Products, And Power. It Is Headquartered In San Antonio, Texas, United States.","$102,729",-7.80%,"$2,422.00",-22.40%,"$53,864","$18,532"
33,General Electric,205000,-12,Multinational Conglomerate Company,"General Electric Company Is An American Multinational Conglomerate Incorporated In New York City And Headquartered In Boston. As Of 2018, The Company Operates Through The Following Segments: Aviation, Healthcare, Power, Renewable Energy, Digital Industry, Additive Manufacturing And Venture Capital And Finance.","$95,214",-20.80%,"-$4,979.00",-,"$266,048","$69,406"
34,Dell Technologies,165000,-,Computer Software Company,ny,"$92,154",1.70%,"$4,616.00",-,"$118,861","$29,246"
35,Johnson & Johnson,132200,2,Medical Device Company,"Johnson & Johnson Is An American Multinational Corporation Founded In 1886 That Develops Medical Devices, Pharmaceutical, And Consumer Packaged Goods","$82,059",0.60%,"$15,119.00",-1.20%,"$157,728","$345,705"
36,State Farm Insurance,57672,-,Insurance Company,"State Farm Is A Large Group Of Insurance Companies Throughout The United States With Corporate Headquarters In Bloomington, Illinois.","$79,395",-2.90%,"$5,592.70",-36.40%,"$294,823",-
37,Target,368000,2,Retail Company,"Target Corporation Is An American Retail Corporation. It Is The 8th-largest Retailer In The United States, And Is A Component Of The S&p 500 Index.","$78,112",3.70%,"$3,281.00",11.70%,"$42,779","$46,574"
38,Ibm,383800,-,Management Consulting Company,"International Business Machines Corporation Is An American Multinational Technology And Consulting Company Headquartered In Armonk, New York, With More Than 350,000 Employees Serving Clients In 170 Countries.","$77,147",-3.10%,"$9,431.00",8.10%,"$152,186","$98,551"
39,Raytheon Technologies,243200,7,Aerospace And Defense Company,"Raytheon Technologies Corporation Is An American Multinational Conglomerate Headquartered In Waltham, Massachusetts. The Company Is One Of The Largest Aerospace And Defense Manufacturers In The World By Revenue And Market Capitalization.","$77,046",15.90%,"$5,537.00",5.10%,"$139,716","$81,705"
40,Boeing,161100,-12,Aerospace Company,"The Boeing Company Is An American Multinational Corporation That Designs, Manufactures, And Sells Airplanes, Rotorcraft, Rockets, Satellites, Telecommunications Equipment, And Missiles Worldwide. The Company Also Provides Leasing And Product Support Services.","$76,559",-24.30%,-$636.00,-106.10%,"$133,625","$84,149"
41,Freddie Mac,6892,-1,Mortgage Loan Company,"The Federal Home Loan Mortgage Corporation, Known As Freddie Mac, Is A Public Government-sponsored Enterprise, Headquartered In Tysons Corner, Virginia. Freddie Mac Is Ranked No. 41 On The 2020 Fortune 500 List Of The Largest United States Corporations By Total Revenue, And Has $2.063 Trillion Assets Under Management.","$75,125",2.10%,"$7,214.00",-21.90%,"$2,203,623",$909
42,Centene,56600,9,Insurance Company,"Centene Corporation Is A Large Publicly Traded Company And A Multi-line Managed Care Enterprise That Serves As A Major Intermediary For Both Government-sponsored And Privately Insured Health Care Programs. It Is A Healthcare Insurer That Focuses On Managed Care For Uninsured, Underinsured, And Low-income Individuals.","$74,639",24.20%,"$1,321.00",46.80%,"$40,994","$34,862"
43,United Parcel Service,377640,-2,Logistics Company,United Parcel Service Is An American Multinational Package Delivery And Supply Chain Management Company.,"$74,094",3.10%,"$4,440.00",-7.30%,"$57,857","$80,196"
44,Lowe's,260000,-2,Retail Company,"Lowe's Companies, Inc., Doing Business As Lowe's, Is An American Retail Company Specializing In Home Improvement. Headquartered In Mooresville, North Carolina, The Company Operates A Chain Of Retail Stores In The United States, And Canada.","$72,148",1.20%,"$4,281.00",85.00%,"$39,471","$64,963"
45,Intel,110800,-2,Semiconductor Company,"Intel Corporation Is An American Multinational Corporation And Technology Company Headquartered In Santa Clara, California, In Silicon Valley.","$71,965",1.60%,"$21,048.00",-,"$136,524","$231,662"
46,Facebook,44942,11,Social Networking Service Company,"Facebook Builds Technologies That Give People The Power To Connect With Friends And Family, Find Communities And Grow Businesses.","$70,697",26.60%,"$18,485.00",-16.40%,"$133,376","$475,455"
47,Fedex,389500,-,Logistics Company,"Fedex Corporation Is An American Multinational Delivery Services Company Headquartered In Memphis, Tennessee.","$69,693",6.50%,$540.00,-88.20%,"$54,403","$31,679"
48,Metlife,49000,-4,Life Insurance Company,"Metlife, Inc. Is The Holding Corporation For The Metropolitan Life Insurance Company, Better Known As Metlife, And Its Affiliates.","$69,620",2.50%,"$5,899.00",15.10%,"$740,463","$27,997"
49,Walt Disney,223000,4,Entertainment Company,The Walt Disney Company Is To Be One Of The World's Leading Producers And Providers Of Entertainment And Information.,"$69,570",17.10%,"$11,054.00",-12.30%,"$193,984","$174,405"
50,Procter & Gamble,97000,-5,Corporation,"It Is An American Multinational Consumer Goods Corporation Headquartered In Cincinnati, Ohio.","$67,684",1.30%,"$3,897.00",-60.00%,"$115,095","$271,640"
51,Pepsico,267000,-3,Food Company,"Pepsico, Inc. Is An American Multinational Food, Snack And Beverage Corporation Headquartered In Harrison, New York, In The Hamlet Of Purchase","$67,161",3.90%,"$7,314.00",-41.60%,"$78,547","$166,848"
52,Humana,46000,4,Managed Health Care,"Humana Inc. Is A For-profit American Health Insurance Company Based In Louisville, Kentucky.","$64,888",14.00%,"$2,707.00",60.80%,"$29,074","$41,490"
53,Prudential Financial,51511,-3,Insurance Company,"Prudential Financial, Inc. Provides Financial Services Throughout The United States And Several Locations Worldwide","$64,807",2.90%,"$4,186.00",2.70%,"$896,552","$20,650"
54,Archer Daniels Midland,38100,-5,Food Processing Company,"The Archer-daniels-midland Company, Commonly Known As Adm, Is An American Multinational Food Processing And Commodities Trading Corporation Founded In 1902 And Headquartered In Chicago, Illinois.","$64,656",0.50%,"$1,379.00",-23.80%,"$43,997","$19,603"
55,Albertsons,267000,-3,Grocery Store Company,"Albertsons Companies, Inc. Is An American Grocery Company Founded And Headquartered In Boise, Idaho.","$60,535",1.00%,$131.10,183.20%,"$20,777",-
56,Sysco,69000,-2,Wholesale Company,"Sysco Corporation Is An American Multinational Corporation Involved In Marketing And Distributing Food Products, Smallwares, Kitchen Equipment And Tabletop Items To Restaurants, Healthcare And Educational","$60,114",2.40%,"$1,674.30",17.00%,"$17,967","$23,203"
57,Lockheed Martin,110000,3,Aerospace And Defense Company,"Lockheed Martin Corporation Is An American Aerospace, Defense, Arms, Security, And Advanced Technologies Company With Worldwide Interests.","$59,812",11.30%,"$6,230.00",23.50%,"$47,528","$95,539"
58,Hp,56000,-3,Hardware Company,"Hpis An American Multinational Information Technology Company Headquartered In Palo Alto, California.","$58,756",0.50%,"$3,152.00",-40.80%,"$33,467","$24,821"
59,Energy Transfer,12812,-,Oil & Energy Company,Energy Transfer Partners Is A Company Engaged In Natural Gas And Propane Pipeline Transport.,"$54,213",-0.40%,"$3,592.00",112.00%,"$98,880","$12,374"
60,Goldman Sachs Group,38300,2,Investment Banking Company,"The Goldman Sachs Group, Inc., Is An American Multinational Investment Bank And Financial Services Company Headquartered In New York City.","$53,922",2.70%,"$8,466.00",-19.10%,"$992,968","$55,417"
61,Morgan Stanley,60431,2,Investment Banking Company,Morgan Stanley Is An American Multinational Investment Bank And Financial Services Company.,"$53,823",7.20%,"$9,042.00",3.40%,"$895,429","$52,102"
62,Caterpillar,102300,-4,Construction Machinery And Equipment Company,"Caterpillar Inc. Is An American Fortune 100 Corporation Which Designs, Develops, Engineers, Manufactures, Markets, And Sells Machinery, Engines, Financial Products, And Insurance To Customers Via A Worldwide Dealer Network.","$53,800",-1.70%,"$6,093.00",-0.90%,"$78,453","$63,832"
63,Cisco Systems,75900,1,Networking Hardware Company,"Cisco Develops, Manufactures And Sells Networking Hardware, Software, Telecommunications Equipment And Other High-technology Services And Products.","$51,904",5.20%,"$11,621.00",10464.50%,"$97,793","$166,709"
64,Pfizer,88300,-3,Pharmaceutical Company,"One Of The World's Largest Pharmaceutical Companies,","$51,750",-3.50%,"$16,273.00",45.90%,"$167,489","$181,075"
65,Hca Healthcare,245000,2,Health Care Company,Hca Healthcare Is An American For-profit Operator Of Health Care Facilities,"$51,336",10.00%,"$3,505.00",-7.40%,"$45,058","$30,411"
66,Aig,46000,-,Finance And Insurance Company,"Aig, Is An American Multinational Finance And Insurance Corporation With Operations In More Than 80 Countries And Jurisdictions.","$49,746",5.00%,"$3,348.00",-,"$525,064","$20,886"
67,American Express,64500,5,Financial Services Company,The American Express Company Is A Multinational Financial Services Provider.,"$47,020",8.60%,"$6,759.00",-2.30%,"$198,321","$68,983"
68,Delta Air Lines,91224,1,Airline,"Delta, Is One Of The Major Airlines Of The United States And A Legacy Carrier.","$47,007",5.80%,"$4,767.00",21.10%,"$64,532","$18,262"
69,Merck,71000,7,Pharmaceutical Company,It's A Multinational Pharmaceutical Company And One Of The Largest Pharmaceutical Companies In The World.,"$46,840",10.70%,"$9,843.00",58.20%,"$84,397","$195,141"
70,American Airlines Group,133700,-2,Airline,"The Company's Primary Business Activity Is The Operation Of A Network Air Carrier, Providing Scheduled Air Transportation For Passengers And Cargo.","$45,768",2.80%,"$1,686.00",19.40%,"$59,995","$5,194"
71,Charter Communications,95100,-1,Telecommunications Company,American Telecommunications And Mass Media Company With Services Branded As Charter Spectrum.,"$45,764",4.90%,"$1,668.00",35.60%,"$148,188","$111,924"
72,Allstate,46035,10,Insurance Company,"The Allstate Corporation Is An American Insurance Company,","$44,675",12.20%,"$4,847.00",115.20%,"$119,950","$29,071"
73,New York Life Insurance,11519,-2,Insurance Company,New York Life Insurance Company Is The Third-largest Life Insurance Company In The United States.,"$44,117",1.60%,"$1,003.80",14.10%,"$330,806",-
74,Nationwide,28114,-1,Insurance,"Nationwide Mutual Insurance Company Operates As An Insurance And Financial Services Provider. The Company Offers Property And Casualty, Life Insurance, Banking, Retirement, And Investment Services. Nationwide Mutual Insurance Serves Customers Worldwide.","$43,982",1.60%,$829.70,61.90%,"$239,540",-
75,Best Buy,125000,-1,Consumer Electronics Company,"It Is An American Multinational Consumer Electronics Retailer Headquartered In Richfield, Minnesota.","$43,638",1.80%,"$1,541.00",5.30%,"$15,591","$14,647"
76,United Airlines Holdings,96000,2,Airline,"United Airlines Holdings, Inc. Operates As A Holding Company. The Company, Through Its Subsidiaries, Provides Air Transportation Services. United Airlines Holdings Owns And Manages Airlines That Transports People And Cargos. United Airlines Holdings Serves Customers Worldwide.","$43,259",4.70%,"$3,009.00",41.30%,"$52,611","$7,823"
77,Liberty Mutual Insurance Group,45000,-2,Insurance Company,The Third-largest Property And Casualty Insurer In The United States.,"$43,228",1.30%,"$1,044.00",-51.70%,"$133,644",-
78,Dow,36500,-,Market Index,"Dow, Is A Stock Market Index That Measures The Stock Performance Of 30 Large Companies Listed On Stock Exchanges In The United States.","$42,951",-,"-$1,359.00",-,"$60,524","$21,716"
79,Tyson Foods,141000,1,Food Production,"The Company Is The World's Second Largest Processor And Marketer Of Chicken, Beef, And Pork.","$42,405",5.90%,"$2,022.00",-33.10%,"$33,097","$21,125"
80,Tjx,286000,5,Department Store Company,"It Is The Leading Off-price Retailer Of Apparel And Home Fashions In The U.s. And Worldwide,","$41,717",7.00%,"$3,272.20",6.90%,"$24,145","$57,262"
81,Tiaa,16533,-2,Financial Services,"It's A Leading Provider Of Financial Services In The Academic, Research, Medical And Cultural Fields, Serving More Than 5 Million People.","$40,454",-1.50%,"$2,460.10",57.60%,"$615,042",-
82,Oracle,136000,-1,Computer Software Company,Oracle Corporation Is An American Multinational Computer Technology Corporation.,"$39,506",-0.80%,"$11,083.00",189.80%,"$108,709","$152,413"
83,General Dynamics,102900,9,Aerospace And Defense Company,General Dynamics Corporation Is An American Aerospace And Defense Corporation.,"$39,350",8.70%,"$3,484.00",4.20%,"$48,841","$38,398"
84,Deere,73489,3,Manufacturing Company,"Its An American Corporation That Manufactures Agricultural, Construction, And Forestry Machinery, Diesel Engines, Drivetrains Used In Heavy Equipment, And Lawn Care Equipment.","$39,258",5.10%,"$3,253.00",37.40%,"$73,011","$43,330"
85,Nike,76700,5,Footwear Manufacturing Company,"Nike, Inc. Is An American Multinational Corporation That Is Engaged In The Design, Development, Manufacturing, And Worldwide Marketing And Sales Of Footwear, Apparel, Equipment, Accessories, And Services","$39,117",7.50%,"$4,029.00",108.40%,"$23,717","$128,857"
86,Progressive,41571,13,Insurance Company,"The Progressive Corporation Is An American Insurance Company, One Of The Largest Providers Of Car Insurance In The United States.","$39,022",22.00%,"$3,970.30",51.80%,"$54,895","$43,218"
87,Publix Super Markets,207000,4,Supermarket Company,Publix Super Markets Is The Largest And Fastest-growing Employee-owned Supermarket Chain In The United States.,"$38,463",5.70%,"$3,005.40",26.20%,"$24,507",-
88,Coca-cola,86200,12,Soft Drink,"Coca-cola, Or Coke, Is A Carbonated Soft Drink Manufactured By The Coca-cola Company.","$37,266",17.00%,"$8,920.00",38.60%,"$86,381","$189,983"
89,Massachusetts Mutual Life Insurance,9896,-5,Insurance Company,"Massmutual Provides Financial Products Such As Life Insurance, Disability Income Insurance, Long Term Care Insurance, Retirement/401 Plan Services, And Annuities.","$37,253",-5.10%,"$3,700.70",830.10%,"$290,731",-
90,Tech Data,15000,-2,Distribution Company,Its A Multinational Distribution Company Specializing In It Products And Services,"$36,998",-0.60%,$374.50,10.00%,"$13,269","$4,645"
91,World Fuel Services,5500,-8,Energy Company,"World Fuel Services Corporation Is An Energy, Commodities, And Services.","$36,819",-7.40%,$178.90,40.10%,"$5,992","$1,647"
92,Honeywell International,113000,-15,Multinational Conglomerate Company,Honeywell International Inc. Is A Worldwide Technology And Manufacturing Company.,"$36,709",-12.20%,"$6,143.00",-9.20%,"$58,679","$94,628"
93,Conocophillips,10400,-7,Natural Gas Liquids Company,"Conocophillips Company Provides Oil Exploration And Production Services. The Company Offers Processes, Refines, And Markets Crude Oil, Natural Gas, And Petroleum Products. Conocophillips Serves Customers Worldwide.","$36,670",-5.30%,"$7,189.00",14.90%,"$70,514","$33,167"
94,Usaa,35076,7,Financial Services Company,"Usaa Is A Private Fortune 150 Financial Services Company That Provides Banking, Insurance, And Investment To The Military Community.","$35,617",13.50%,"$4,006.30",74.80%,"$173,733",-
95,Exelon,32713,-2,Nuclear Electric Power Generation Company,Exelon Is One Of The Largest Competitive U.s. Power Generators.,"$34,438",-4.30%,"$2,936.00",46.10%,"$124,977","$35,850"
96,Northrop Grumman,90000,12,Aerospace And Defense Company,Northrop Grumman Corporation Is An American Global Aerospace And Defense Technology Company.,"$33,841",12.40%,"$2,248.00",-30.40%,"$41,089","$50,719"
97,Capital One Financial,51900,1,Bank Holding Company,"It's An American Bank Holding Company Specializing In Credit Cards, Auto Loans, Banking, And Savings Accounts.","$33,766",4.30%,"$5,546.00",-7.80%,"$390,365","$23,063"
98,Plains Gp Holdings,5000,-4,Investment Management,Its One Of The Largest Energy Infrastructure And Logistics Companies In North America.,"$33,669",-1.10%,$331.00,-0.90%,"$29,969","$1,022"
99,Abbvie,30000,-3,Pharmaceuticals,Abbvie Is An American Publicly Traded Biopharmaceutical Company Founded In 2013.,"$33,266",1.60%,"$7,882.00",38.60%,"$89,115","$112,508"
100,Stonex Group,2012,12,Financial Services,Stonex Group Inc. Is A Financial Services Organization.,"$32,897",19.10%,$85.10,53.30%,"$9,936",$700
101,Enterprise Products Partners,7300,-12,Oil And Gas,Its An American Midstream Natural Gas And Crude Oil Pipeline Company With Headquarters In Houston.,"$32,789",-10.30%,"$4,591.30",10.00%,"$61,733","$31,306"
102,Northwestern Mutual,5964,9,Insurance And Investments,Northwestern Mutual Is An American Financial Services Mutual Organization Based In Milwaukee.,"$32,294",10.90%,"$1,268.00",61.90%,"$290,318",-
103,3m,96163,-8,Multinational Conglomerate Company,"The 3m Company Is An American Multinational Conglomerate Corporation Operating In The Fields Of Industry, Worker Safety, Us Health Care, And Consumer Goods.","$32,136",-1.90%,"$4,570.00",-14.60%,"$44,659","$78,529"
104,Abbott Laboratories,107000,-1,Medical Device Company,Abbott Laboratories Is An American Multinational Medical Devices And Health Care Company.,"$31,904",4.30%,"$3,687.00",55.70%,"$67,887","$139,153"
105,Chs,10703,-8,Food Company,"Chs Is A Global Agribusiness Owned By Farmers, Ranchers And Cooperatives Across The United States.","$31,901",-2.40%,$829.90,7.00%,"$16,448",-
106,Travelers,30800,-,Insurance Company,"Travelers Provides Insurance Coverage To Protect The Things That Are Important To You – Your Home, Your Car, Your Valuables And Your Business.","$31,581",4.30%,"$2,622.00",3.90%,"$110,122","$25,337"
107,Philip Morris International,73500,3,Cigarette Company,American Multinational Cigarette And Tobacco Manufacturing Company.,"$29,805",0.60%,"$7,185.00",-9.20%,"$42,875","$113,606"
108,Raytheon,70000,6,Aerospace And ‎defense,"Raytheon Technologies Corporation Is An Aerospace And Defense Company That Provides Advanced Systems And Services For Commercial, Military And Government Customers Worldwide.","$29,176",7.80%,"$3,343.00",14.90%,"$34,566","$36,518"
109,Hewlett Packard Enterprise,61600,-7,Information Technology Solution,"The Company Offers Enterprise Security, Analytics And Data Management, Applications Development And Testing, Data Center Care, Cloud Consulting, And Business Process Services. Hewlett Packard Enterprise Serves Customers Worldwide.","$29,135",-5.60%,"$1,049.00",-45.00%,"$51,803","$12,510"
110,Arrow Electronics,19300,-1,Information Technology & Services,The Company Specializes In Distribution And Value Added Services Relating To Electronic Components And Computer Products.,"$28,917",-2.60%,-$204.10,-128.50%,"$16,401","$4,183"
111,Viacomcbs,26280,106,Mass Media Company,Global Media And Entertainment Company,"$27,812",91.60%,"$3,308.00",68.80%,"$49,519","$8,798"
112,Dollar General,143000,7,Variety Store Company,Dollar General Corporation Is An American Chain Of Variety Stores,"$27,754",8.30%,"$1,712.60",7.70%,"$22,825","$38,046"
113,U.s. Bancorp,69651,4,Banking,"U.s. Bancorp Is A Diversified Financial Services Company That Provides Lending And Depository Services, Cash Management, Foreign Exchange And Trust And Investment Management Services. The Company Also Provides Credit Card Services, Mortgage Banking, Insurance, Brokerage, And Leasing. U.s Bancorp Operates In The Midwest And Western United States.","$27,325",6.00%,"$6,914.00",-2.60%,"$495,426","$52,408"
114,Starbucks,346000,7,Coffeehouse Company,American Multinational Chain Of Coffeehouses And Roastery Reserves,"$26,509",7.20%,"$3,599.20",-20.30%,"$19,220","$77,179"
